pokedex_number,name,generation,genus,type1,type2,base_happiness,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,pokedex_entry
1,Bulbasaur,I,Seed Pokémon,Grass,Poison,70,0.7,6.9,45,49,49,65,65,45,"Overgrow, Chlorophyll",,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.
2,Ivysaur,I,Seed Pokémon,Grass,Poison,70,1.0,13.0,60,62,63,80,80,60,"Overgrow, Chlorophyll",Bulbasaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,Venusaur,I,Seed Pokémon,Grass,Poison,70,2.0,100.0,80,82,83,100,100,80,"Overgrow, Chlorophyll",Ivysaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,Charmander,I,Lizard Pokémon,Fire,,70,0.6,8.5,39,52,43,60,50,65,"Blaze, Solar Power",,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
5,Charmeleon,I,Flame Pokémon,Fire,,70,1.1,19.0,58,64,58,80,65,80,"Blaze, Solar Power",Charmander,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
6,Charizard,I,Flame Pokémon,Fire,Flying,70,1.7,90.5,78,84,78,109,85,100,"Blaze, Solar Power",Charmeleon,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
7,Squirtle,I,Tiny Turtle Pokémon,Water,,70,0.5,9.0,44,48,65,50,64,43,"Torrent, Rain Dish",,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
8,Wartortle,I,Turtle Pokémon,Water,,70,1.0,22.5,59,63,80,65,80,58,"Torrent, Rain Dish",Squirtle,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
9,Blastoise,I,Shellfish Pokémon,Water,,70,1.6,85.5,79,83,100,85,105,78,"Torrent, Rain Dish",Wartortle,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
10,Caterpie,I,Worm Pokémon,Bug,,70,0.3,2.9,45,30,35,20,20,45,"Shield Dust, Run Away",,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
11,Metapod,I,Cocoon Pokémon,Bug,,70,0.7,9.9,50,20,55,25,25,30,Shed Skin,Caterpie,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
12,Butterfree,I,Butterfly Pokémon,Bug,Flying,70,1.1,32.0,60,45,50,90,80,70,"Compound Eyes, Tinted Lens",Metapod,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
13,Weedle,I,Hairy Bug Pokémon,Bug,Poison,70,0.3,3.2,40,35,30,20,20,50,"Shield Dust, Run Away",,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."
14,Kakuna,I,Cocoon Pokémon,Bug,Poison,70,0.6,10.0,45,25,50,25,25,35,Shed Skin,Weedle,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger."
15,Beedrill,I,Poison Bee Pokémon,Bug,Poison,70,1.0,29.5,65,90,40,45,80,75,"Swarm, Sniper",Kakuna,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
16,Pidgey,I,Tiny Bird Pokémon,Normal,Flying,70,0.3,1.8,40,45,40,35,35,56,"Keen Eye, Tangled Feet, Big Pecks",,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,Pidgeotto,I,Bird Pokémon,Normal,Flying,70,1.1,30.0,63,60,55,50,50,71,"Keen Eye, Tangled Feet, Big Pecks",Pidgey,The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.
18,Pidgeot,I,Bird Pokémon,Normal,Flying,70,1.5,39.5,83,80,75,70,70,101,"Keen Eye, Tangled Feet, Big Pecks",Pidgeotto,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
19,Rattata,I,Mouse Pokémon,Normal,,70,0.3,3.5,30,56,35,25,35,72,"Run Away, Guts, Hustle",,"Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on."
20,Raticate,I,Mouse Pokémon,Normal,,70,0.7,18.5,55,81,60,50,70,97,"Run Away, Guts, Hustle",Rattata,"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans."
21,Spearow,I,Tiny Bird Pokémon,Normal,Flying,70,0.3,2.0,40,60,30,31,31,70,"Keen Eye, Sniper",,Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokémon in the tall grass.
22,Fearow,I,Beak Pokémon,Normal,Flying,70,1.2,38.0,65,90,65,61,61,100,"Keen Eye, Sniper",Spearow,It’s tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.
23,Ekans,I,Snake Pokémon,Poison,,70,2.0,6.9,35,60,44,40,54,55,"Intimidate, Shed Skin, Unnerve",,"The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
24,Arbok,I,Cobra Pokémon,Poison,,70,3.5,65.0,60,95,69,65,79,80,"Intimidate, Shed Skin, Unnerve",Ekans,The pattern on its belly appears to be a frightening face. Weak foes will flee just at the sight of the pattern.
25,Pikachu,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
26,Raichu,I,Mouse Pokémon,Electric,,70,0.8,30.0,60,90,55,90,80,110,"Static, Lightning Rod",Pikachu,Its long tail serves as a ground to protect itself from its own high-voltage power.
27,Sandshrew,I,Mouse Pokémon,Ground,,70,0.6,12.0,50,75,85,20,30,40,"Sand Veil, Sand Rush",,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body."
28,Sandslash,I,Mouse Pokémon,Ground,,70,1.0,29.5,75,100,110,45,55,65,"Sand Veil, Sand Rush",Sandshrew,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched."
